p00,p10,p01,p11,Total Number of Counts
0.1253742121,0.8746257879,0.0283314151,0.9716685849,
0.1253685312,0.8746314688,0.0292065942,0.9707934058,
0.1252763123,0.8747236877,0.0281888175,0.9718111825,
0.1254063373,0.8745936627,0.0288067773,0.9711932227,
0.1253527729,0.8746472271,0.0279133546,0.9720866454,
0.1254135273,0.8745864727,0.0282718572,0.9717281428,
0.1253961612,0.8746038388,0.0296941002,0.9703058998,
0.1253793878,0.8746206122,0.0289064217,0.9710935783,
0.1252979064,0.8747020936,0.0285959424,0.9714040576,
0.1254144297,0.8745855703,0.0288975015,0.9711024985,
0.1252711599,0.8747288401,0.0294769561,0.9705230439,
0.1253222437,0.8746777563,0.0281279755,0.9718720245,
0.1254724865,0.8745275135,0.0285703881,0.9714296119,
0.1252883795,0.8747116205,0.028237991,0.971762009,
0.1253174166,0.8746825834,0.0288418066,0.9711581934,
0.1252752438,0.8747247562,0.0285436499,0.9714563501,
0.1252720219,0.8747279781,0.0292162525,0.9707837475,
0.1254011082,0.8745988918,0.0290345704,0.9709654296,
0.1254000979,0.8745999021,0.0288160857,0.9711839143,
0.1254050765,0.8745949235,0.0286056644,0.9713943356,
0.1254600187,0.8745399813,0.0279382725,0.9720617275,
0.1254557056,0.8745442944,0.0292330698,0.9707669302,
0.1253935757,0.8746064243,0.0284127323,0.9715872677,
0.1254689361,0.8745310639,0.029127481,0.970872519,
0.1252884029,0.8747115971,0.0280585962,0.9719414038,
0.1253097743,0.8746902257,0.0290610873,0.9709389127,
0.1252837717,0.8747162283,0.0283050475,0.9716949525,
0.1253330242,0.8746669758,0.028257317,0.971742683,
0.1253655871,0.8746344129,0.0282799944,0.9717200056,
0.1253060171,0.8746939829,0.0282405878,0.9717594122,
0.1253937254,0.8746062746,0.028402663,0.971597337,
0.1253008599,0.8746991401,0.0288165328,0.9711834672,
0.1254913537,0.8745086463,0.0281515766,0.9718484234,
0.1254661701,0.8745338299,0.0285561436,0.9714438564,
0.125332739,0.874667261,0.0279757979,0.9720242021,
0.12529829,0.87470171,0.0289350701,0.9710649299,
0.1253852561,0.8746147439,0.028246102,0.971753898,
0.1253180678,0.8746819322,0.0282505177,0.9717494823,
0.1253469563,0.8746530437,0.0288514763,0.9711485237,
0.1253986809,0.8746013191,0.0282131007,0.9717868993,
0.1254464838,0.8745535162,0.0284743814,0.9715256186,
0.1254262438,0.8745737562,0.0283275329,0.9716724671,
0.1252098322,0.8747901678,0.0283189061,0.9716810939,
0.1252617788,0.8747382212,0.0284951256,0.9715048744,
0.1253942825,0.8746057175,0.0285299354,0.9714700646,
0.1253544905,0.8746455095,0.0288988566,0.9711011434,
0.1253693244,0.8746306756,0.0282608241,0.9717391759,
0.1252932969,0.8747067031,0.0289591202,0.9710408798,
0.1253792533,0.8746207467,0.0284005354,0.9715994646,
0.125279276,0.874720724,0.0286713433,0.9713286567,
0.1253721599,0.8746278401,0.0279308598,0.9720691402,
0.1253436759,0.8746563241,0.0296635622,0.9703364378,
0.1253817866,0.8746182134,0.0287456172,0.9712543828,
0.1253309038,0.8746690962,0.0287286639,0.9712713361,
0.1253099661,0.8746900339,0.0285532099,0.9714467901,
0.1254150258,0.8745849742,0.0288150958,0.9711849042,
0.1253755527,0.8746244473,0.0285509862,0.9714490138,
0.1253088198,0.8746911802,0.0286185963,0.9713814037,
0.125320316,0.874679684,0.0282635558,0.9717364442,
0.1253469684,0.8746530316,0.0290874137,0.9709125863,
0.125466988,0.874533012,0.0285144265,0.9714855735,
0.1254182617,0.8745817383,0.0291375717,0.9708624283,
0.1254167483,0.8745832517,0.0284405491,0.9715594509,
0.1253182526,0.8746817474,0.0281243956,0.9718756044,
0.1254062893,0.8745937107,0.0287633636,0.9712366364,
0.1253945227,0.8746054773,0.0288258914,0.9711741086,
0.1254031008,0.8745968992,0.0286370997,0.9713629003,
0.1254166262,0.8745833738,0.0280351354,0.9719648646,
0.1254543211,0.8745456789,0.028325947,0.971674053,
0.1254287183,0.8745712817,0.0289785623,0.9710214377,
0.1253135569,0.8746864431,0.0287189986,0.9712810014,
0.1253858304,0.8746141696,0.028532509,0.971467491,
0.1255661498,0.8744338502,0.0289763665,0.9710236335,
0.1253944867,0.8746055133,0.0289880284,0.9710119716,
0.1253506312,0.8746493688,0.0285358236,0.9714641764,
0.1253879902,0.8746120098,0.0284889195,0.9715110805,
0.1252945481,0.8747054519,0.0285542703,0.9714457297,
0.1253998446,0.8746001554,0.0290374778,0.9709625222,
0.1254571612,0.8745428388,0.0280163599,0.9719836401,
0.1254044654,0.8745955346,0.0276811202,0.9723188798,
0.1252450752,0.8747549248,0.0282117532,0.9717882468,
0.1254589117,0.8745410883,0.0284262738,0.9715737262,
0.1253569027,0.8746430973,0.0278600007,0.9721399993,
0.1254019837,0.8745980163,0.0288581921,0.9711418079,
0.1255602437,0.8744397563,0.0286464587,0.9713535413,
0.1253664439,0.8746335561,0.028801729,0.971198271,
0.1253208524,0.8746791476,0.0287377569,0.9712622431,
0.1253624427,0.8746375573,0.0281798487,0.9718201513,
0.1253198825,0.8746801175,0.0287263498,0.9712736502,
0.1254139697,0.8745860303,0.0281102362,0.9718897638,
0.1253017605,0.8746982395,0.0290089226,0.9709910774,
0.1254727453,0.8745272547,0.0280287067,0.9719712933,
0.1253587693,0.8746412307,0.0284610364,0.9715389636,
0.1254044918,0.8745955082,0.0282477602,0.9717522398,
0.1252791062,0.8747208938,0.0285068087,0.9714931913,
0.1253939317,0.8746060683,0.0279250121,0.9720749879,
0.1252706323,0.8747293677,0.0288611134,0.9711388866,
0.1253093304,0.8746906696,0.0283269447,0.9716730553,
0.1254897905,0.8745102095,0.0290053659,0.9709946341,
0.1253162783,0.8746837217,0.0287486025,0.9712513975,
0.1252899497,0.8747100503,0.0288115622,0.9711884378,
0.1252720007,0.8747279993,0.0282007511,0.9717992489,
0.1253266542,0.8746733458,0.0285438413,0.9714561587,
0.125384104,0.874615896,0.0289717134,0.9710282866,
0.1253891702,0.8746108298,0.0286051761,0.9713948239,
0.1253798994,0.8746201006,0.0275576359,0.9724423641,
0.1254973698,0.8745026302,0.0283097201,0.9716902799,
0.1254658084,0.8745341916,0.0287452527,0.9712547473,
0.1253785453,0.8746214547,0.0282579076,0.9717420924,
0.1254588279,0.8745411721,0.0285636618,0.9714363382,
0.1253246379,0.8746753621,0.0284028111,0.9715971889,
0.1252696615,0.8747303385,0.0282919977,0.9717080023,
0.1252922177,0.8747077823,0.0282797367,0.9717202633,
0.1253411589,0.8746588411,0.0285542672,0.9714457328,
0.1253421712,0.8746578288,0.0282267183,0.9717732817,
0.1253332946,0.8746667054,0.0287697688,0.9712302312,
0.1253213984,0.8746786016,0.0288301502,0.9711698498,
0.1253988578,0.8746011422,0.0290301595,0.9709698405,
0.1254499465,0.8745500535,0.0282887804,0.9717112196,
0.1254942837,0.8745057163,0.0279400266,0.9720599734,
0.1252901913,0.8747098087,0.0291863825,0.9708136175,
0.1252802219,0.8747197781,0.0283682368,0.9716317632,
0.1254180023,0.8745819977,0.0280805372,0.9719194628,
0.125319299,0.874680701,0.0280387051,0.9719612949,
0.1253298568,0.8746701432,0.0291474311,0.9708525689,
0.1253657915,0.8746342085,0.0281395959,0.9718604041,
0.1254695926,0.8745304074,0.0286549097,0.9713450903,
0.1254198731,0.8745801269,0.0290333379,0.9709666621,
0.1252366526,0.8747633474,0.0282184267,0.9717815733,
0.1252473297,0.8747526703,0.028347776,0.971652224,
0.1253900445,0.8746099555,0.0290452978,0.9709547022,
0.1253211559,0.8746788441,0.0288050597,0.9711949403,
0.1253869352,0.8746130648,0.0293254826,0.9706745174,
0.1253552608,0.8746447392,0.0283200151,0.9716799849,
0.125333675,0.874666325,0.0289844514,0.9710155486,
0.125275507,0.874724493,0.0286239303,0.9713760697,
0.125396473,0.874603527,0.0282129365,0.9717870635,
0.1253450205,0.8746549795,0.0284823482,0.9715176518,
0.1253511257,0.8746488743,0.0284537429,0.9715462571,
0.125327038,0.874672962,0.0283448783,0.9716551217,
0.1253223705,0.8746776295,0.028572025,0.971427975,
0.125399638,0.874600362,0.0282908777,0.9717091223,
0.1254034548,0.8745965452,0.0279911266,0.9720088734,
0.1252855358,0.8747144642,0.0287127575,0.9712872425,
0.1253435525,0.8746564475,0.0280691141,0.9719308859,
