p00,p10,p01,p11
0.1253458821,0.8746541179,0.0286275193,0.9713724807
0.1252896823,0.8747103177,0.0290058994,0.9709941006
0.125397526,0.874602474,0.0293634413,0.9706365587
0.1253311542,0.8746688458,0.0295356044,0.9704643956
0.1253845673,0.8746154327,0.0294194702,0.9705805298
0.1253302403,0.8746697597,0.0286927319,0.9713072681
0.125317612,0.874682388,0.0285896953,0.9714103047
0.1254234014,0.8745765986,0.0293851811,0.9706148189
0.1253875653,0.8746124347,0.0298044789,0.9701955211
0.1253137399,0.8746862601,0.0288390169,0.9711609831
0.125332175,0.874667825,0.0289735654,0.9710264346
0.1253308173,0.8746691827,0.0291733782,0.9708266218
0.1254873123,0.8745126877,0.0298763542,0.9701236458
0.1254492729,0.8745507271,0.0286846691,0.9713153309
0.1253896174,0.8746103826,0.0299491128,0.9700508872
0.1252926028,0.8747073972,0.0291992483,0.9708007517
0.1254444894,0.8745555106,0.0287814532,0.9712185468
0.1254236998,0.8745763002,0.0298812432,0.9701187568
0.1253850978,0.8746149022,0.0288144642,0.9711855358
0.1254184939,0.8745815061,0.0279365603,0.9720634397
0.1254726225,0.8745273775,0.0284897787,0.9715102213
0.1254365638,0.8745634362,0.029742662,0.970257338
0.1252910668,0.8747089332,0.0288949108,0.9711050892
0.1254220265,0.8745779735,0.0293447689,0.9706552311
0.1255464072,0.8744535928,0.0289332409,0.9710667591
0.1254069644,0.8745930356,0.029477794,0.970522206
0.1253342571,0.8746657429,0.029732047,0.970267953
0.1254259888,0.8745740112,0.0287531859,0.9712468141
0.1252732867,0.8747267133,0.0293594716,0.9706405284
0.1254239365,0.8745760635,0.0294691867,0.9705308133
0.1254507375,0.8745492625,0.0296407462,0.9703592538
0.125387031,0.874612969,0.0293030691,0.9706969309
0.1252537165,0.8747462835,0.0291742347,0.9708257653
0.125466013,0.874533987,0.0291615474,0.9708384526
0.1253931989,0.8746068011,0.0300724079,0.9699275921
0.1254094548,0.8745905452,0.029298951,0.970701049
0.1255608682,0.8744391318,0.0284994773,0.9715005227
0.1253216664,0.8746783336,0.0289387742,0.9710612258
0.1253535539,0.8746464461,0.0295260495,0.9704739505
0.1253508862,0.8746491138,0.029731555,0.970268445
0.1253267159,0.8746732841,0.0288895731,0.9711104269
0.1254533582,0.8745466418,0.0296682499,0.9703317501
0.1252664616,0.8747335384,0.029541657,0.970458343
0.1254943493,0.8745056507,0.0289950509,0.9710049491
0.1253523745,0.8746476255,0.0296293252,0.9703706748
0.1254081844,0.8745918156,0.0290931505,0.9709068495
0.1252463304,0.8747536696,0.0291321901,0.9708678099
0.1254209143,0.8745790857,0.0300213303,0.9699786697
0.1252689338,0.8747310662,0.0292444335,0.9707555665
0.1253353986,0.8746646014,0.0284620669,0.9715379331
0.1254971578,0.8745028422,0.0294708469,0.9705291531
0.1252768858,0.8747231142,0.028678208,0.971321792
0.1252897996,0.8747102004,0.0289492808,0.9710507192
0.1253212404,0.8746787596,0.0293215733,0.9706784267
0.1253350011,0.8746649989,0.0289611774,0.9710388226
0.1253619212,0.8746380788,0.0294317131,0.9705682869
0.1254025882,0.8745974118,0.0295719003,0.9704280997
0.1253596882,0.8746403118,0.0290190631,0.9709809369
0.1255213935,0.8744786065,0.0294454811,0.9705545189
